model,response,phoneme,AIC,BIC,logLik,LRT_stat,LRT_p,ICC,R2_marginal,R2_conditional,fe_Intercept,fe_L2,fe_Male,fe_L2:Male,representation
main,PC1,ø,560.0286120289152,577.1753401736873,-275.0143060144576,7.048890493196268,0.029468150392191087,0.404361749201514,0.14144877856494908,0.40445635924481393,-1.4745505714066323,0.8392519759439481,0.23699113883187942,,whisper_layer4
full,PC1,ø,561.9729524672155,582.5490262409421,-274.98647623360773,0.05565956169971287,0.8134925853654192,0.404361749201514,0.14214843322140794,0.4043002820466373,-1.5314017403870814,0.9103456286770671,0.3100854989496015,-0.14383539392538874,whisper_layer4
extended,PC1,ø,561.9729524672155,582.5490262409421,-274.98647623360773,,,0.404361749201514,0.14214843322140794,0.4043002820466373,-1.5314017403870814,0.9103456286770671,0.3100854989496015,-0.14383539392538874,whisper_layer4
intercept_only,PC1,ə,353.9601249012717,362.24664670566494,-173.98006245063584,,,0.39119167461398063,3.031463764077323e-35,0.39119167461398063,0.044216383076765196,,,,whisper_layer4
main,PC1,ə,353.7570446990974,367.5679143730862,-171.8785223495487,4.203080202174306,0.12226797812807066,0.39119167461398063,0.08686549569088006,0.38245779963425824,0.3026876500128659,0.07876657084805772,-1.048742938314734,,whisper_layer4
full,PC1,ə,355.6089820734679,372.18202568225445,-171.80449103673396,0.14806262562944994,0.7003937003463306,0.39119167461398063,0.08827570705129391,0.38085867898537673,0.18690861364703226,0.22768535655475158,-0.8335979072601393,-0.42297063662025014,whisper_layer4
extended,PC1,ə,355.6089820734679,372.18202568225445,-171.80449103673396,,,0.39119167461398063,0.08827570705129391,0.38085867898537673,0.18690861364703226,0.22768535655475158,-0.8335979072601393,-0.42297063662025014,whisper_layer4
intercept_only,PC2,a,8057.259427219946,8075.375931493309,-4025.629713609973,,,0.15763854206951905,8.626400666723281e-31,0.15763854206951905,-2.014312797617831,,,,whisper_layer4
main,PC2,a,8047.94186415794,8078.136037946878,-4018.97093207897,13.31756306200623,0.0012827083589410596,0.15763854206951905,0.07861530413853,0.15424171598069528,-2.4739909742269575,0.27936107595556936,0.6606514876030943,,whisper_layer4
full,PC2,a,8048.763014551976,8084.996023098703,-4018.381507275988,1.178849605963478,0.2775903173830222,0.15763854206951905,0.08237458462774147,0.15322146889986368,-2.6031534496629924,0.44041173201045936,0.8267890621168681,-0.32729357949305843,whisper_layer4
extended,PC2,a,8048.763014551976,8084.996023098703,-4018.381507275988,,,0.15763854206951905,0.08237458462774147,0.15322146889986368,-2.6031534496629924,0.44041173201045936,0.8267890621168681,-0.32729357949305843,whisper_layer4
intercept_only,PC2,ɑ,1304.5078017655724,1319.251994443728,-649.2539008827862,,,0.3073803971652135,6.796545966779783e-31,0.3073803971652135,-2.5488995118371363,,,,whisper_layer4
main,PC2,ɑ,1307.8299612505089,1332.4036157141018,-648.9149806252544,0.6778405150635081,0.7125392664636128,0.3073803971652135,0.013651935178802262,0.3080880488203718,-2.668193740278651,0.10076307126859371,0.13732917090073113,,whisper_layer4
full,PC2,ɑ,1309.778266028441,1339.2666513847525,-648.8891330142205,0.0516952220677922,0.8201392858053322,0.3073803971652135,0.014547684730995668,0.30777281092327125,-2.6383733522961075,0.062374911416836834,0.09900078152008042,0.07667101542520381,whisper_layer4
extended,PC2,ɑ,1309.778266028441,1339.2666513847525,-648.8891330142205,,,0.3073803971652135,0.014547684730995668,0.30777281092327125,-2.6383733522961075,0.062374911416836834,0.09900078152008042,0.07667101542520381,whisper_layer4
random_slope,PC2,ɑ,1313.612133813749,1352.9299809554975,-648.8060669068745,0.16613221469197015,0.920290307259414,0.3073803971652135,0.014184910508318079,0.33497182231603007,-2.6383965924446904,0.05940459936772931,0.0989923956610203,0.0799080698314878,whisper_layer4
intercept_only,PC2,e,366.4861530975768,376.94054389804876,-180.2430765487884,,,0.10446931475879015,7.2596402716640425e-31,0.10446931475879015,-2.308935663868758,,,,whisper_layer4
main,PC2,e,367.78267536603835,385.20666003349163,-178.89133768301917,2.7034777315384417,0.25878986833002676,0.10446931475879015,0.023615463766201994,0.09318473881815649,-2.4570505529149758,0.19671191109226924,0.0931460494646266,,whisper_layer4
full,PC2,e,367.5101043473326,388.4188859482765,-177.7550521736663,2.2725710187057757,0.13168128922106084,0.10446931475879015,0.04067825490566734,0.12337254810554485,-2.59525489310424,0.3673483105970525,0.27054808221617993,-0.34531732417154476,whisper_layer4
extended,PC2,e,367.5101043473326,388.4188859482765,-177.7550521736663,,,0.10446931475879015,0.04067825490566734,0.12337254810554485,-2.59525489310424,0.3673483105970525,0.27054808221617993,-0.34531732417154476,whisper_layer4
intercept_only,PC2,ɛ,759.8901623643624,771.438136704203,-376.9450811821812,,,0.08134291113688744,3.7142928000066203e-31,0.08134291113688744,-2.678354459335722,,,,whisper_layer4
main,PC2,ɛ,758.2875517328512,777.5341756325855,-374.1437758664256,5.602610631511197,0.06073073807542973,0.08134291113688744,0.03406325703125535,0.08104293502956021,-2.874941201112257,0.3039436739239566,0.07634500038291697,,whisper_layer4
full,PC2,ɛ,760.2805906300314,783.3765393097126,-374.1402953150157,0.006961102819786902,0.9335070718903451,0.08134291113688744,0.034047081242251934,0.08105523245460691,-2.8835105895996214,0.31466356465110046,0.08736323856727914,-0.02114684880628712,whisper_layer4
extended,PC2,ɛ,760.2805906300314,783.3765393097126,-374.1402953150157,,,0.08134291113688744,0.034047081242251934,0.08105523245460691,-2.8835105895996214,0.31466356465110046,0.08736323856727914,-0.02114684880628712,whisper_layer4
intercept_only,PC2,i,3763.403995836983,3780.0082838080957,-1878.7019979184915,,,0.16768835488893832,3.884970372620875e-31,0.16768835488893832,-1.8305603531503614,,,,whisper_layer4
main,PC2,i,3765.2108703588183,3792.884683644006,-1877.6054351794091,2.193125478164802,0.3340172171160348,0.16768835488893832,0.019312221373846392,0.16772541270894603,-1.8627580944524709,0.13694409127449148,-0.0839994272603716,,whisper_layer4
full,PC2,i,3766.889182311208,3800.0977582534333,-1877.444591155604,0.3216880476102233,0.5705949518450255,0.16768835488893832,0.02187885349350043,0.16770057459132653,-1.933393016822797,0.22528487177649523,0.006825030577411572,-0.1795612000832739,whisper_layer4
extended,PC2,i,3766.889182311208,3800.0977582534333,-1877.444591155604,,,0.16768835488893832,0.02187885349350043,0.16770057459132653,-1.933393016822797,0.22528487177649523,0.006825030577411572,-0.1795612000832739,whisper_layer4
intercept_only,PC2,o,196.85749209875837,205.06608744394185,-95.42874604937919,,,0.35048215578685027,5.217174957170354e-31,0.35048215578685027,-1.690758011843029,,,,whisper_layer4
main,PC2,o,200.62113008228562,214.3021223242581,-95.31056504114281,0.23636201647275357,0.8885352058671908,0.35048215578685027,0.0056715687224872715,0.3504792178666954,-1.7815302772701118,0.07034879468137006,0.11346501070009593,,whisper_layer4
full,PC2,o,202.6205920386751,219.03778272904208,-95.31029601933756,0.0005380436105042463,0.9814941150800073,0.35048215578685027,0.005684398940958161,0.35047921050640435,-1.7772676249345134,0.06502047926187449,0.1079844576971868,0.010808868422394348,whisper_layer4
extended,PC2,o,202.6205920386751,219.03778272904208,-95.31029601933756,,,0.35048215578685027,0.005684398940958161,0.35047921050640435,-1.7772676249345134,0.06502047926187449,0.1079844576971868,0.010808868422394348,whisper_layer4
intercept_only,PC2,u,2016.2234145012517,2029.9318587624946,-1005.1117072506258,,,0.037821508356956475,4.950221987206045e-32,0.037821508356956475,-1.236527770099728,,,,whisper_layer4
main,PC2,u,2018.9229001672566,2041.770307269328,-1004.4614500836283,1.3005143339951246,0.52191154107725,0.037821508356956475,0.004158509483679444,0.03775851109230021,-1.3460552508939754,0.06816842682778508,0.1569090042045497,,whisper_layer4
full,PC2,u,2020.921853867104,2048.3387423895897,-1004.460926933552,0.0010463001526659355,0.9741956765283551,0.037821508356956475,0.0041637532496933876,0.037763652700377424,-1.3425422923840458,0.06380239292167475,0.1523825864554148,0.008893752519116909,whisper_layer4
extended,PC2,u,2020.921853867104,2048.3387423895897,-1004.460926933552,,,0.037821508356956475,0.0041637532496933876,0.037763652700377424,-1.3425422923840458,0.06380239292167475,0.1523825864554148,0.008893752519116909,whisper_layer4
intercept_only,PC2,y,1876.4001816444384,1889.2637573249237,-935.2000908222192,,,0.02619710126382295,2.585801305078023e-32,0.02619710126382295,-1.4231274274398806,,,,whisper_layer4
main,PC2,y,1879.159463871581,1900.59875667239,-934.5797319357905,1.2407177728573515,0.5377514112759751,0.02619710126382295,0.003900155607611372,0.02454923937864242,-1.5686637480067436,0.08458894362382946,0.2042412361148123,,whisper_layer4
full,PC2,y,1880.463069835369,1906.1902211963397,-934.2315349176845,0.6963940362120411,0.4039980095416644,0.02619710126382295,0.005983282104519996,0.025029387093992734,-1.685292219370605,0.23297462278005232,0.35393997636910696,-0.2978720505258816,whisper_layer4
extended,PC2,y,1880.463069835369,1906.1902211963397,-934.2315349176845,,,0.02619710126382295,0.005983282104519996,0.025029387093992734,-1.685292219370605,0.23297462278005232,0.35393997636910696,-0.2978720505258816,whisper_layer4
intercept_only,PC2,ø,403.05022336770116,413.3382602545645,-198.52511168385058,,,0.23573868124137998,0.0,0.23573868124137998,-2.467170477806413,,,,whisper_layer4
main,PC2,ø,403.6977396952809,420.84446784005314,-196.84886984764046,3.3524836724202487,0.1870757177717828,0.23573868124137998,0.04870426936369205,0.23559272718539076,-2.6840597464319793,0.31923847709113384,0.10316811768910211,,whisper_layer4
full,PC2,ø,404.6069430137268,425.1830167874534,-196.3034715068634,1.0907966815541386,0.2962947574062357,0.23573868124137998,0.06233521225341226,0.23513837417847352,-2.8261331965525973,0.4970155593446847,0.28583398212989414,-0.358998863516383,whisper_layer4
extended,PC2,ø,404.6069430137268,425.1830167874534,-196.3034715068634,,,0.23573868124137998,0.06233521225341226,0.23513837417847352,-2.8261331965525973,0.4970155593446847,0.28583398212989414,-0.358998863516383,whisper_layer4
intercept_only,PC2,ə,306.80830691506515,315.0948287194584,-150.40415345753257,,,0.35407308164952705,4.8672535191469635e-32,0.35407308164952705,-1.0995539714516183,,,,whisper_layer4
main,PC2,ə,307.2563672072597,321.0672368812485,-148.62818360362985,3.5519397078054453,0.16931915499823594,0.35407308164952705,0.06870522271224169,0.29429714876192664,-0.7584064416687762,-0.1369255132230074,-0.8151567650761518,,whisper_layer4
full,PC2,ə,308.33118850855726,324.9042321173438,-148.16559425427863,0.9251786987024389,0.3361188789604592,0.35407308164952705,0.07811202012014327,0.251569835916036,-0.9415800276907772,0.10900989229143193,-0.4470929999885251,-0.7757097432215602,whisper_layer4
extended,PC2,ə,308.33118850855726,324.9042321173438,-148.16559425427863,,,0.35407308164952705,0.07811202012014327,0.251569835916036,-0.9415800276907772,0.10900989229143193,-0.4470929999885251,-0.7757097432215602,whisper_layer4
intercept_only,PC3,a,12764.463738838062,12782.580243111424,-6379.231869419031,,,0.03976138299128018,1.2723081389404856e-38,0.03976138299128018,-0.0016083374579097336,,,,whisper_layer4
main,PC3,a,12767.373525044506,12797.567698833445,-6378.686762522253,1.0902137935554492,0.5797798034344024,0.03976138299128018,0.0023952842664143464,0.039587001419864404,0.19882496934676977,-0.1693155360553602,-0.2355937776460785,,whisper_layer4
full,PC3,a,12769.264371067711,12805.497379614437,-6378.632185533856,0.10915397679491434,0.7411093844295265,0.03976138299128018,0.0026147029620109835,0.03958006214846431,0.2576227355772739,-0.24247434246732152,-0.3112512777099589,0.14888490066798438,whisper_layer4
extended,PC3,a,12769.264371067711,12805.497379614437,-6378.632185533856,,,0.03976138299128018,0.0026147029620109835,0.03958006214846431,0.2576227355772739,-0.24247434246732152,-0.3112512777099589,0.14888490066798438,whisper_layer4
intercept_only,PC3,ɑ,4574.865751848516,4589.609944526672,-2284.432875924258,,,0.07115029868615134,0.0,0.07115029868615134,0.0058255182458691,,,,whisper_layer4
main,PC3,ɑ,4575.888591337356,4600.462245800949,-2282.944295668678,2.9771605111600365,0.22569285435601416,0.07115029868615134,0.01529757856417117,0.07304377037783742,-0.5683645936690985,0.5162030638286743,0.6239892738110867,,whisper_layer4
full,PC3,ɑ,4577.8751386540225,4607.363524010334,-2282.9375693270113,0.013452683333525783,0.9076638725568622,0.07115029868615134,0.01537023691678962,0.07308957478525341,-0.535889781585178,0.4718965760502741,0.5823101613325968,0.0856619064423387,whisper_layer4
extended,PC3,ɑ,4577.8751386540225,4607.363524010334,-2282.9375693270113,,,0.07115029868615134,0.01537023691678962,0.07308957478525341,-0.535889781585178,0.4718965760502741,0.5823101613325968,0.0856619064423387,whisper_layer4
intercept_only,PC3,e,1065.1777342166836,1075.6321250171554,-529.5888671083418,,,0.007032983507508931,1.6231584212768842e-34,0.007032983507508931,-0.19847705814516006,,,,whisper_layer4
main,PC3,e,1067.5512369020423,1084.9752215694955,-528.7756184510212,1.6264973146412558,0.44341521973532416,0.007032983507508931,0.007746859693911378,0.016422769314013798,-0.5541593596001976,0.2522394791880169,0.4757388259849044,,whisper_layer4
full,PC3,e,1069.2634638877146,1090.1722454886585,-528.6317319438573,0.2877730143277404,0.5916511820430685,0.007032983507508931,0.009116535018261391,0.01806457652604956,-0.717588385877514,0.452740721252774,0.6853862650990545,-0.4042265378156933,whisper_layer4
extended,PC3,e,1069.2634638877146,1090.1722454886585,-528.6317319438573,,,0.007032983507508931,0.009116535018261391,0.01806457652604956,-0.717588385877514,0.452740721252774,0.6853862650990545,-0.4042265378156933,whisper_layer4
intercept_only,PC3,ɛ,1459.6633405324128,1471.2113148722533,-726.8316702662064,,,0.015040497850326894,1.991036977376376e-34,0.015040497850326894,0.1486612275884969,,,,whisper_layer4
main,PC3,ɛ,1461.1688919736434,1480.4155158733777,-725.5844459868217,2.4944485587693634,0.28730115885912555,0.015040497850326894,0.009116216933736506,0.010060770634788392,0.5433809042402623,-0.42401336384350113,-0.36024555500929173,,whisper_layer4
full,PC3,ɛ,1460.48466474007,1483.5806134197512,-724.242332370035,2.684227233573438,0.10134637995502102,0.015040497850326894,0.016917932219200148,0.0183109838393427,0.19480625767674706,0.012316960717060715,0.08794008348614024,-0.8348354860925795,whisper_layer4
